code,industry,year,yearly_open_cum,yearly_high_cum,code_name,volume,turn,isST,peTTM,pbMRQ
sz.301052,R86新闻和出版业,2025,-0.18467747419576036,5.818764531653789,果麦文化,5427754.216904277,10.639430549898167,0,63.596158619775736,4.559896337410805
sh.688202,M73研究和试验发展,2025,-0.5153289159794371,5.817861239728721,美迪西,2016674.5350631136,3.660934852734923,0,58.4657660814035,10.971675214035088
sh.688680,C29橡胶和塑料制品业,2025,-0.15056184251506372,5.813860424665757,海优新材,1906929.3537234042,3.89757615248227,0,-114.15959264862467,5.501967218278616
sz.002427,C28化学纤维制造业,2025,-0.44431143060433065,5.801603511393705,尤夫股份,10465350.750307502,1.2654359741538461,1,77.62454601597051,-17.679102111793615
sz.300486,C34通用设备制造业,2025,0.4538864456050351,5.801281990246576,东杰智能,8541999.596674876,2.3347295252463054,0,22.917461647420147,2.608891133292383
sh.688222,M73研究和试验发展,2025,0.06780830933169062,5.801002378667691,成都先导,5509532.176157935,2.59355747911921,0,158.07118519832827,7.958856042553192
sh.688306,C35专用设备制造业,2025,0.5376815224691839,5.797036815669873,均普智能,16897224.769140165,3.783505889281508,0,176.1285449870283,4.459110683962264
sh.603579,C38电气机械和器材制造业,2025,-0.3578331369372743,5.790783715554472,荣泰健康,2370251.0601596073,1.7894465009208103,0,17.517317254299755,2.207208414004914
sh.688590,I65软件和信息技术服务业,2025,-0.1506156325880334,5.78933172660901,新致软件,6826315.614125754,4.570644616709733,0,77.0393166612069,3.4622706706896555
sz.300125,C38电气机械和器材制造业,2025,0.030318484595231426,5.7782968879144345,*ST聆达,10151314.95697603,3.874218955132145,1,211.51739658599507,3.8705247794840294
sz.300491,C38电气机械和器材制造业,2025,-0.2889322818317076,5.778286012399148,通合科技,6525640.360343769,4.831767907918969,0,130.31165839373463,3.5040559428746927
sz.301005,C36汽车制造业,2025,0.039085286740338024,5.777836433149033,超捷股份,3526870.6899521532,5.659866220095694,0,99.21404762356322,4.639397445402299
sz.002272,C34通用设备制造业,2025,-0.08867552017728733,5.765744973583622,川润股份,26033735.302639656,7.451009314917127,0,-68.78267391339067,1.9978547352579852
sh.688700,C35专用设备制造业,2025,0.07729105323491973,5.76239924218811,东威科技,3960507.164092664,3.5266890926640926,0,91.92686085120772,11.70820381352657
sz.300237,C36汽车制造业,2025,-0.018733162484527444,5.7584059687907185,美晨科技,48078502.52524631,3.338460701970443,0,-16.212908792997546,11.242711103194104
sz.300927,C26化学原料和化学制品制造业,2025,-0.5849086781276134,5.75408587271505,江天化学,3717732.736611062,6.3395234416154524,0,37.703100795254834,4.260212587873463
sh.688255,C34通用设备制造业,2025,-0.14694753241156824,5.744223767890565,凯尔达,1896119.062170706,3.7161763962065333,0,94.78056478375527,3.7672582552742617
sh.688400,C39计算机、通信和其他电子设备制造业,2025,0.010850110928659298,5.742592748807694,凌云光,8040012.383825418,5.128007060333761,0,73.67336361953728,3.333971046272494
sh.688658,C27医药制造业,2025,-0.14599603567558114,5.739497754183979,悦康药业,5472258.168118467,2.472945905923345,0,174.00774234176112,2.7244561752397556
sz.002553,C36汽车制造业,2025,-0.8835256048309719,5.734128746612464,南方精工,18626464.508901168,7.741242709023941,0,39.24246181203931,3.7499456750614253
